,subsystem
479436.15.peg.813,"Metabolic:Transport, extracellular"
479436.15.peg.814,"Metabolic:Transport, extracellular"
479436.15.peg.815,Metabolic:Pyruvate metabolism
479436.15.peg.818,Metabolic:Exchange/demand reaction
479436.15.peg.819,Metabolic:Exchange/demand reaction
479436.15.peg.820,Translation
479436.15.peg.822,Metabolic:Nucleotide interconversion
479436.15.peg.823,Metabolic:Glycerophospholipid metabolism
479436.15.peg.824,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.826,Metabolic:Cell wall biosynthesis
479436.15.peg.827,Metabolic:Glycerophospholipid metabolism
479436.15.peg.828,Translation
479436.15.peg.829,Metabolic:CoA synthesis
479436.15.peg.834,Metabolic:Nucleotide interconversion
479436.15.peg.835,Transcription
479436.15.peg.836,Metabolic:CoA synthesis
479436.15.peg.837,"Metabolic:Transport, extracellular"
479436.15.peg.838,Metabolic:Methionine and cysteine metabolism
479436.15.peg.839,Metabolic:Exchange/demand reaction
479436.15.peg.840,Translation
479436.15.peg.841,tRNA-Charging
479436.15.peg.843,Translation
479436.15.peg.844,Translation
479436.15.peg.848,Metabolic:Pentose and glucuronate interconversions
479436.15.peg.849,tRNA-Charging
479436.15.peg.850,Translation
479436.15.peg.851,Metabolic:Nucleotide interconversion
479436.15.peg.852,Translation
479436.15.peg.854,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.855,Metabolic:Glycerophospholipid metabolism
479436.15.peg.856,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.858,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.859,tRNA-Charging
479436.15.peg.874,Translation
479436.15.peg.875,Translation
479436.15.peg.876,Translation
479436.15.peg.877,Translation
479436.15.peg.878,Translation
479436.15.peg.881,tRNA-Charging
479436.15.peg.883,Metabolic:Glutamate metabolism
479436.15.peg.892,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.893,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.895,Metabolic:Nucleotide interconversion
479436.15.peg.896,Metabolic:Vitamin B12 metabolism
479436.15.peg.898,Metabolic:Vitamin B12 metabolism
479436.15.peg.899,Metabolic:Vitamin B12 metabolism
479436.15.peg.900,Metabolic:Vitamin B12 metabolism
479436.15.peg.901,Metabolic:Vitamin B12 metabolism
479436.15.peg.902,Metabolic:Vitamin B12 metabolism
479436.15.peg.903,Metabolic:Vitamin B12 metabolism
479436.15.peg.904,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.905,Translation
479436.15.peg.906,Metabolic:Glutathione metabolism
479436.15.peg.910,Transcription
479436.15.peg.914,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.917,Metabolic:NAD metabolism
479436.15.peg.921,Metabolic:Lysine metabolism
479436.15.peg.922,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.923,Metabolic:Lysine metabolism
479436.15.peg.924,Metabolic:beta-Alanine metabolism
479436.15.peg.925,Metabolic:CoA synthesis
479436.15.peg.931,Metabolic:Cell wall biosynthesis
479436.15.peg.937,Metabolic:Cell wall biosynthesis
479436.15.peg.940,Metabolic:Methionine and cysteine metabolism
479436.15.peg.941,Metabolic:Arginine and proline metabolism
479436.15.peg.942,Metabolic:Arginine and proline metabolism
479436.15.peg.944,Metabolic:Vitamin B2 metabolism
479436.15.peg.945,Metabolic:Vitamin B2 metabolism
479436.15.peg.946,Metabolic:Vitamin B2 metabolism
479436.15.peg.947,Metabolic:Vitamin B2 metabolism
479436.15.peg.948,Metabolic:Pyruvate metabolism
479436.15.peg.950,Metabolic:Exchange/demand reaction
479436.15.peg.955,Metabolic:Pyrimidine catabolism
479436.15.peg.956,tRNA-Charging
479436.15.peg.960,Metabolic:Exchange/demand reaction
479436.15.peg.966,tRNA-Charging
479436.15.peg.968,tRNA-Charging
479436.15.peg.969,tRNA-Charging
479436.15.peg.981,Metabolic:Biotin metabolism
479436.15.peg.982,Translation
479436.15.peg.988,tRNA-Charging
479436.15.peg.989,tRNA-Charging
479436.15.peg.990,tRNA-Charging
479436.15.peg.991,Metabolic:Exchange/demand reaction
479436.15.peg.992,Metabolic:Exchange/demand reaction
479436.15.peg.993,Metabolic:Oxidative phosphorylation
479436.15.peg.997,Metabolic:Biotin metabolism
479436.15.peg.998,Metabolic:Glycerophospholipid metabolism
479436.15.peg.1003,Transcription
479436.15.peg.1005,Translation
479436.15.peg.1007,tRNA-Charging
479436.15.peg.1009,tRNA-Charging
479436.15.peg.1010,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.1018,Metabolic:Glyoxylate and dicarboxylate metabolism
479436.15.peg.1024,Metabolic:Lysine metabolism
479436.15.peg.1026,Translation
479436.15.peg.1027,Translation
479436.15.peg.1031,Translation
479436.15.peg.1034,Metabolic:Thiamine metabolism
479436.15.peg.1039,Metabolic:CoA synthesis
479436.15.peg.1041,Metabolic:Pyrimidine catabolism
479436.15.peg.1043,Metabolic:Glycerophospholipid metabolism
479436.15.peg.1044,Metabolic:Glycerophospholipid metabolism
479436.15.peg.1045,Metabolic:Aminosugar metabolism
479436.15.peg.1046,Metabolic:Nucleotide interconversion
479436.15.peg.1049,tRNA-Charging
479436.15.peg.1053,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.1055,tRNA-Charging
479436.15.peg.1056,Metabolic:Cell wall biosynthesis
479436.15.peg.1059,tRNA-Charging
479436.15.peg.1060,tRNA-Charging
479436.15.peg.1065,Metabolic:Pentose phosphate pathway
479436.15.peg.1079,Translation
479436.15.peg.1080,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.1081,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.1082,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.1083,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.1085,Metabolic:Nucleotide salvage pathway
479436.15.peg.1086,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.1087,Metabolic:Pentose phosphate pathway
479436.15.peg.1091,Translation
479436.15.peg.1093,tRNA-Charging
479436.15.peg.1098,Metabolic:Alanine and aspartate metabolism
479436.15.peg.1104,Metabolic:Alanine and aspartate metabolism
479436.15.peg.1105,Metabolic:Cell wall biosynthesis
479436.15.peg.1106,Metabolic:Cell wall biosynthesis
479436.15.peg.1107,Metabolic:Cell wall biosynthesis
479436.15.peg.1108,Metabolic:Cell wall biosynthesis
479436.15.peg.1109,Metabolic:Cell wall biosynthesis
479436.15.peg.1110,Metabolic:Cell wall biosynthesis
479436.15.peg.1112,Translation
479436.15.peg.1114,Metabolic:Sulfur metabolism
479436.15.peg.1116,tRNA-Charging
479436.15.peg.1119,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.1121,Metabolic:Vitamin B12 metabolism
479436.15.peg.1122,Metabolic:Vitamin B12 metabolism
479436.15.peg.1123,Metabolic:Vitamin B12 metabolism
479436.15.peg.1124,Metabolic:Vitamin B12 metabolism
479436.15.peg.1125,Metabolic:Vitamin B12 metabolism
479436.15.peg.1128,Metabolic:Vitamin B12 metabolism
479436.15.peg.1131,"Metabolic:Transport, extracellular"
479436.15.peg.1132,Metabolic:Vitamin B12 metabolism
479436.15.peg.1133,Metabolic:Vitamin B12 metabolism
479436.15.peg.1134,Metabolic:Vitamin B12 metabolism
479436.15.peg.1135,Metabolic:Vitamin B12 metabolism
479436.15.peg.1136,Metabolic:Vitamin B12 metabolism
479436.15.peg.1137,Metabolic:Vitamin B12 metabolism
479436.15.peg.1138,Metabolic:Vitamin B12 metabolism
479436.15.peg.1143,Metabolic:Pentose phosphate pathway
479436.15.peg.1149,Metabolic:Glyoxylate and dicarboxylate metabolism
479436.15.peg.1158,tRNA-Charging
