,subsystem
411903.6.peg.1280,Metabolic:Folate metabolism
411903.6.peg.1281,Metabolic:Folate metabolism
411903.6.peg.1286,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
411903.6.peg.1292,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.1296,Translation
411903.6.peg.1297,tRNA-Charging
411903.6.peg.1305,Metabolic:Bile acid metabolism
411903.6.peg.1316,Metabolic:Glyoxylate and dicarboxylate metabolism
411903.6.peg.1322,"Metabolic:Transport, extracellular"
411903.6.peg.1323,"Metabolic:Transport, extracellular"
411903.6.peg.1324,"Metabolic:Transport, extracellular"
411903.6.peg.1325,"Metabolic:Transport, extracellular"
411903.6.peg.1329,"Metabolic:Transport, extracellular"
411903.6.peg.1344,Metabolic:Urea cycle
411903.6.peg.1345,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.1346,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.1360,"Metabolic:Transport, extracellular"
411903.6.peg.1361,Metabolic:Citric acid cycle
411903.6.peg.1366,tRNA-Charging
411903.6.peg.1367,Metabolic:Cell wall biosynthesis
411903.6.peg.1370,Metabolic:NAD metabolism
411903.6.peg.1371,Metabolic:Arginine and proline metabolism
411903.6.peg.1374,Metabolic:Arginine and proline metabolism
411903.6.peg.1377,tRNA-Charging
411903.6.peg.1382,Metabolic:Fructose and mannose metabolism
411903.6.peg.1383,Metabolic:Alanine and aspartate metabolism
411903.6.peg.1473,tRNA-Charging
411903.6.peg.1474,Metabolic:Purine catabolism
411903.6.peg.1476,Metabolic:Alanine and aspartate metabolism
411903.6.peg.1481,"Metabolic:Transport, extracellular"
411903.6.peg.1486,"Metabolic:Transport, extracellular"
411903.6.peg.1488,Metabolic:Pentose phosphate pathway
411903.6.peg.1489,Metabolic:Pentose phosphate pathway
411903.6.peg.1490,Metabolic:Pentose phosphate pathway
411903.6.peg.1491,"Metabolic:Transport, extracellular"
411903.6.peg.1495,Metabolic:Aminosugar metabolism
411903.6.peg.1505,Metabolic:Methionine and cysteine metabolism
411903.6.peg.1507,"Metabolic:Valine, leucine, and isoleucine metabolism"
411903.6.peg.1510,Metabolic:Unassigned
411903.6.peg.1516,Metabolic:Vitamin B2 metabolism
411903.6.peg.1521,Translation
411903.6.peg.1523,Metabolic:Pentose phosphate pathway
411903.6.peg.1550,"Metabolic:Transport, extracellular"
411903.6.peg.1561,Translation
411903.6.peg.1565,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1566,Metabolic:Nucleotide salvage pathway
411903.6.peg.1568,Metabolic:Respiration
411903.6.peg.1569,Metabolic:Respiration
411903.6.peg.1570,Metabolic:Respiration
411903.6.peg.1572,Metabolic:Respiration
411903.6.peg.1573,Metabolic:Respiration
411903.6.peg.1574,Metabolic:Respiration
411903.6.peg.1575,Metabolic:Respiration
411903.6.peg.1577,Metabolic:Aminosugar metabolism
411903.6.peg.1581,Metabolic:Methionine and cysteine metabolism
411903.6.peg.1588,"Metabolic:Transport, extracellular"
411903.6.peg.1633,Metabolic:Starch and sucrose metabolism
411903.6.peg.1636,Metabolic:CoA synthesis
411903.6.peg.1639,Metabolic:Folate metabolism
411903.6.peg.1645,Metabolic:Cell wall biosynthesis
411903.6.peg.1646,Metabolic:Pentose phosphate pathway
411903.6.peg.1649,Metabolic:Glutamate metabolism
411903.6.peg.1650,Metabolic:Nucleotide interconversion
411903.6.peg.1657,"Metabolic:Transport, extracellular"
411903.6.peg.1658,Metabolic:Purine synthesis
411903.6.peg.1659,Metabolic:Purine synthesis
411903.6.peg.1661,Metabolic:Purine synthesis
411903.6.peg.1666,Metabolic:Purine synthesis
411903.6.peg.1671,"Metabolic:Transport, extracellular"
411903.6.peg.1673,Metabolic:Pyrimidine synthesis
411903.6.peg.1674,Metabolic:Pyrimidine synthesis
411903.6.peg.1677,Metabolic:Nucleotide interconversion
411903.6.peg.1678,Metabolic:Purine synthesis
411903.6.peg.1679,Metabolic:Nucleotide interconversion
411903.6.peg.1681,tRNA-Charging
411903.6.peg.1682,tRNA-Charging
411903.6.peg.1683,Metabolic:Exchange/demand reaction
411903.6.peg.1684,tRNA-Charging
411903.6.peg.1694,Metabolic:Alanine and aspartate metabolism
411903.6.peg.1697,Translation
411903.6.peg.1702,Metabolic:Cholesterol metabolism
411903.6.peg.1703,"Metabolic:Transport, extracellular"
411903.6.peg.1707,"Metabolic:Transport, extracellular"
411903.6.peg.1710,Metabolic:Starch and sucrose metabolism
411903.6.peg.1711,Metabolic:Starch and sucrose metabolism
411903.6.peg.1712,Metabolic:Galactose metabolism
411903.6.peg.1714,Metabolic:Cell wall biosynthesis
411903.6.peg.1719,Metabolic:Aminosugar metabolism
411903.6.peg.1720,"Metabolic:Transport, extracellular"
411903.6.peg.1721,"Metabolic:Transport, extracellular"
411903.6.peg.1722,"Metabolic:Transport, extracellular"
411903.6.peg.1723,"Metabolic:Transport, extracellular"
411903.6.peg.1725,Metabolic:Aminosugar metabolism
411903.6.peg.1726,Metabolic:Histidine metabolism
411903.6.peg.1727,Metabolic:Histidine metabolism
411903.6.peg.1728,Metabolic:Histidine metabolism
411903.6.peg.1729,Metabolic:Histidine metabolism
411903.6.peg.1730,Metabolic:Histidine metabolism
411903.6.peg.1731,Metabolic:Histidine metabolism
411903.6.peg.1733,Metabolic:Histidine metabolism
411903.6.peg.1734,Metabolic:Histidine metabolism
411903.6.peg.1735,Metabolic:Histidine metabolism
411903.6.peg.1739,Translation
411903.6.peg.1743,"Metabolic:Transport, extracellular"
411903.6.peg.1753,Metabolic:Purine synthesis
411903.6.peg.1758,Metabolic:Cell wall biosynthesis
411903.6.peg.1759,Metabolic:Exchange/demand reaction
411903.6.peg.1760,Metabolic:Fructose and mannose metabolism
411903.6.peg.1763,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.1764,Metabolic:Oxidative phosphorylation
411903.6.peg.1765,"Metabolic:Transport, extracellular"
411903.6.peg.1776,Metabolic:Exchange/demand reaction
411903.6.peg.1786,Metabolic:Nucleotide interconversion
411903.6.peg.1787,Transcription
411903.6.peg.1791,Metabolic:Exchange/demand reaction
411903.6.peg.1792,tRNA-Charging
411903.6.peg.1797,Translation
411903.6.peg.1801,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1802,Translation
411903.6.peg.1804,tRNA-Charging
411903.6.peg.1805,Translation
411903.6.peg.1810,Translation
411903.6.peg.1811,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1826,Metabolic:Pyrimidine catabolism
411903.6.peg.1828,Metabolic:Sulfur metabolism
411903.6.peg.1832,Metabolic:Nucleotide salvage pathway
411903.6.peg.1835,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1837,Metabolic:Bile acid metabolism
411903.6.peg.1843,Metabolic:CoA synthesis
411903.6.peg.1846,Metabolic:Thiamine metabolism
411903.6.peg.1847,Metabolic:Thiamine metabolism
411903.6.peg.1848,Metabolic:Pentose and glucuronate interconversions
411903.6.peg.1849,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1850,Metabolic:Cell wall biosynthesis
411903.6.peg.1853,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.1854,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1855,Metabolic:Nucleotide interconversion
411903.6.peg.1856,Metabolic:Pyrimidine synthesis
411903.6.peg.1857,Metabolic:Exchange/demand reaction
411903.6.peg.1858,Metabolic:Exchange/demand reaction
411903.6.peg.1865,Metabolic:Cell wall biosynthesis
411903.6.peg.1866,Metabolic:Phenylalanine metabolism
411903.6.peg.1867,Metabolic:Phenylalanine metabolism
411903.6.peg.1868,Metabolic:Phenylalanine metabolism
411903.6.peg.1869,Metabolic:Phenylalanine metabolism
411903.6.peg.1870,Metabolic:Phenylalanine metabolism
411903.6.peg.1871,Metabolic:Phenylalanine metabolism
411903.6.peg.1872,Metabolic:Tyrosine metabolism
411903.6.peg.1873,Metabolic:Phenylalanine metabolism
411903.6.peg.1887,tRNA-Charging
411903.6.peg.1888,tRNA-Charging
411903.6.peg.1892,Metabolic:NAD metabolism
