,subsystem
g.26457.CDS.1131,Translation
g.26457.CDS.1133,tRNA-Charging
347253.5.peg.1134,Metabolic:CoA synthesis
347253.5.peg.1135,Metabolic:CoA synthesis
347253.5.peg.1140,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.1141,Metabolic:Glycolysis/gluconeogenesis
347253.5.peg.1142,Metabolic:Folate metabolism
g.26457.CDS.1149,tRNA-Charging
g.26457.CDS.1153,"Metabolic:Transport, extracellular"
347253.5.peg.1153,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.26457.CDS.1160,Metabolic:Pyruvate metabolism
g.26457.CDS.1165,Translation
g.26457.CDS.1167,"Metabolic:Transport, extracellular"
g.26457.CDS.1172,tRNA-Charging
347253.5.peg.1172,Metabolic:Vitamin B6 metabolism
g.26457.CDS.1178,Metabolic:Glycerophospholipid metabolism
g.26457.CDS.1183,Metabolic:Citric acid cycle
g.26457.CDS.1184,Metabolic:Arginine and proline metabolism
g.26457.CDS.1185,tRNA-Charging
347253.5.peg.1185,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.26457.CDS.1186,Metabolic:Galactose metabolism
g.26457.CDS.1187,Metabolic:Exchange/demand reaction
g.26457.CDS.1192,Metabolic:Nucleotide interconversion
g.26457.CDS.1196,Metabolic:Pentose and glucuronate interconversions
g.26457.CDS.1199,Metabolic:Thiamine metabolism
g.26457.CDS.1208,Metabolic:Exchange/demand reaction
g.26457.CDS.1212,Metabolic:Cell wall biosynthesis
g.26457.CDS.1228,Metabolic:Cell wall biosynthesis
g.26457.CDS.1233,Metabolic:Vitamin B2 metabolism
g.26457.CDS.1243,Metabolic:Others
g.26457.CDS.1245,Transcription
g.26457.CDS.1247,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.1252,tRNA-Charging
g.26457.CDS.1253,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.1259,Metabolic:Starch and sucrose metabolism
g.26457.CDS.1260,"Metabolic:Transport, extracellular"
g.26457.CDS.1261,Metabolic:Exchange/demand reaction
g.26457.CDS.1264,Metabolic:Methionine and cysteine metabolism
