,subsystem
g.25584.CDS.923,Metabolic:Exchange/demand reaction
g.25584.CDS.925,Metabolic:Aminobenzoate degradation
1215915.3.peg.926,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1215915.3.peg.927,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25584.CDS.928,"Metabolic:Transport, extracellular"
g.25584.CDS.929,"Metabolic:Transport, extracellular"
g.25584.CDS.932,Metabolic:Sulfur metabolism
g.25584.CDS.942,"Metabolic:Transport, extracellular"
g.25584.CDS.948,"Metabolic:Transport, extracellular"
g.25584.CDS.951,Metabolic:Arginine and proline metabolism
g.25584.CDS.953,Metabolic:Fatty acid synthesis
1215915.3.peg.953,Metabolic:Purine synthesis
g.25584.CDS.954,Metabolic:Nucleotide interconversion
1215915.3.peg.954,Metabolic:Purine synthesis
1215915.3.peg.955,Metabolic:Purine synthesis
g.25584.CDS.956,tRNA-Charging
1215915.3.peg.956,Metabolic:Purine synthesis
g.25584.CDS.960,Metabolic:Others
g.25584.CDS.973,Metabolic:Starch and sucrose metabolism
g.25584.CDS.978,Translation
g.25584.CDS.981,tRNA-Charging
g.25584.CDS.990,Metabolic:Glutathione metabolism
g.25584.CDS.992,tRNA-Charging
g.25584.CDS.995,Metabolic:Pentose phosphate pathway
1215915.3.peg.999,Metabolic:Nucleotide interconversion
1215915.3.peg.1000,Metabolic:Nucleotide interconversion
g.25584.CDS.1001,Metabolic:Phenylalanine metabolism
1215915.3.peg.1001,Metabolic:Nucleotide interconversion
g.25584.CDS.1003,Translation
g.25584.CDS.1007,Translation
g.25584.CDS.1014,Metabolic:NAD metabolism
g.25584.CDS.1022,Metabolic:Folate metabolism
g.25584.CDS.1025,"Metabolic:Transport, extracellular"
g.25584.CDS.1028,Metabolic:Cell wall biosynthesis
g.25584.CDS.1032,"Metabolic:Transport, extracellular"
1215915.3.peg.1033,Metabolic:Nucleotide interconversion
g.25584.CDS.1042,"Metabolic:Transport, extracellular"
g.25584.CDS.1047,Metabolic:Exchange/demand reaction
g.25584.CDS.1048,"Metabolic:Transport, extracellular"
g.25584.CDS.1049,Metabolic:Arginine and proline metabolism
g.25584.CDS.1056,Metabolic:Cell wall biosynthesis
g.25584.CDS.1061,Metabolic:Pyruvate metabolism
g.25584.CDS.1069,"Metabolic:Transport, extracellular"
g.25584.CDS.1070,Metabolic:O-Glycan degradation
g.25584.CDS.1075,Metabolic:Nucleotide salvage pathway
g.25584.CDS.1078,"Metabolic:Transport, extracellular"
g.25584.CDS.1080,"Metabolic:Transport, extracellular"
g.25584.CDS.1082,"Metabolic:Transport, extracellular"
g.25584.CDS.1083,Translation
g.25584.CDS.1085,"Metabolic:Transport, extracellular"
1215915.3.peg.1086,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.1090,Metabolic:Glycerophospholipid metabolism
g.25584.CDS.1091,Metabolic:Phenylalanine metabolism
g.25584.CDS.1096,"Metabolic:Transport, extracellular"
g.25584.CDS.1100,Metabolic:Exchange/demand reaction
g.25584.CDS.1101,tRNA-Charging
1215915.3.peg.1112,"Metabolic:Valine, leucine, and isoleucine metabolism"
1215915.3.peg.1113,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.1114,"Metabolic:Transport, extracellular"
g.25584.CDS.1115,Metabolic:Nucleotide interconversion
1215915.3.peg.1115,"Metabolic:Valine, leucine, and isoleucine metabolism"
1215915.3.peg.1116,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.1119,Metabolic:Cell wall biosynthesis
g.25584.CDS.1121,Translation
1215915.3.peg.1127,Metabolic:Pyrimidine synthesis
g.25584.CDS.1130,Metabolic:Glyoxylate and dicarboxylate metabolism
g.25584.CDS.1134,tRNA-Charging
g.25584.CDS.1135,Metabolic:NAD metabolism
g.25584.CDS.1139,Metabolic:Starch and sucrose metabolism
g.25584.CDS.1144,Metabolic:Exchange/demand reaction
g.25584.CDS.1150,"Metabolic:Transport, extracellular"
g.25584.CDS.1154,"Metabolic:Transport, extracellular"
g.25584.CDS.1155,Metabolic:Fructose and mannose metabolism
g.25584.CDS.1157,Metabolic:Folate metabolism
g.25584.CDS.1158,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.1159,Metabolic:Starch and sucrose metabolism
g.25584.CDS.1161,Translation
g.25584.CDS.1168,Metabolic:Cell wall biosynthesis
g.25584.CDS.1170,Metabolic:O-Glycan degradation
g.25584.CDS.1182,Metabolic:Nucleotide interconversion
g.25584.CDS.1186,"Metabolic:Transport, extracellular"
g.25584.CDS.1194,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.1206,Translation
g.25584.CDS.1210,"Metabolic:Transport, extracellular"
g.25584.CDS.1217,Metabolic:Urea cycle
g.25584.CDS.1220,Metabolic:Vitamin B2 metabolism
g.25584.CDS.1224,Metabolic:Folate metabolism
g.25584.CDS.1228,Metabolic:Pentose phosphate pathway
g.25584.CDS.1229,tRNA-Charging
g.25584.CDS.1230,tRNA-Charging
g.25584.CDS.1237,tRNA-Charging
g.25584.CDS.1240,Metabolic:Arginine and proline metabolism
g.25584.CDS.1246,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.1260,Metabolic:Exchange/demand reaction
g.25584.CDS.1264,"Metabolic:Transport, extracellular"
1215915.3.peg.1264,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.1272,Metabolic:Exchange/demand reaction
g.25584.CDS.1274,Metabolic:Urea cycle
g.25584.CDS.1276,Metabolic:Sulfur metabolism
g.25584.CDS.1281,Metabolic:Cholesterol metabolism
g.25584.CDS.1283,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.1284,Metabolic:Ascorbate and aldarate metabolism
g.25584.CDS.1285,Metabolic:NAD metabolism
g.25584.CDS.1286,Metabolic:Pentose and glucuronate interconversions
g.25584.CDS.1293,tRNA-Charging
1215915.3.peg.1293,Metabolic:Alanine and aspartate metabolism
g.25584.CDS.1296,Metabolic:Nucleotide interconversion
1215915.3.peg.1297,Metabolic:Arginine and proline metabolism
1215915.3.peg.1298,Metabolic:Arginine and proline metabolism
g.25584.CDS.1311,Metabolic:Pyruvate metabolism
g.25584.CDS.1314,Metabolic:Cholesterol metabolism
g.25584.CDS.1317,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.1318,Metabolic:CoA synthesis
1215915.3.peg.1318,Metabolic:Arginine and proline metabolism
1215915.3.peg.1321,Metabolic:Arginine and proline metabolism
g.25584.CDS.1322,Translation
g.25584.CDS.1325,"Metabolic:Transport, extracellular"
g.25584.CDS.1328,Metabolic:Galactose metabolism
1215915.3.peg.1331,Metabolic:Alanine and aspartate metabolism
g.25584.CDS.1333,Metabolic:NAD metabolism
1215915.3.peg.1334,Metabolic:Arginine and proline metabolism
1215915.3.peg.1338,Metabolic:Tryptophan metabolism
g.25584.CDS.1339,Metabolic:Purine catabolism
1215915.3.peg.1339,Metabolic:Tryptophan metabolism
1215915.3.peg.1340,Metabolic:Tryptophan metabolism
1215915.3.peg.1341,Metabolic:Tryptophan metabolism
1215915.3.peg.1342,Metabolic:Tryptophan metabolism
g.25584.CDS.1343,Metabolic:Lysine metabolism
1215915.3.peg.1345,Metabolic:Tryptophan metabolism
1215915.3.peg.1346,Metabolic:Tryptophan metabolism
g.25584.CDS.1351,"Metabolic:Transport, extracellular"
g.25584.CDS.1352,Metabolic:Nucleotide sugar metabolism
g.25584.CDS.1360,Metabolic:Galactose metabolism
1215915.3.peg.1364,Metabolic:Pentose phosphate pathway
g.25584.CDS.1368,Post-translation
g.25584.CDS.1370,"Metabolic:Valine, leucine, and isoleucine metabolism"
1215915.3.peg.1371,Metabolic:Purine synthesis
1215915.3.peg.1372,Metabolic:Purine synthesis
g.25584.CDS.1373,Metabolic:Nucleotide interconversion
1215915.3.peg.1373,Metabolic:Purine synthesis
g.25584.CDS.1374,Metabolic:Aminosugar metabolism
g.25584.CDS.1375,"Metabolic:Transport, extracellular"
g.25584.CDS.1378,Metabolic:Exchange/demand reaction
1215915.3.peg.1378,Metabolic:Pyrimidine synthesis
1215915.3.peg.1379,Metabolic:Pyrimidine synthesis
1215915.3.peg.1380,Metabolic:Pyrimidine synthesis
g.25584.CDS.1381,Metabolic:Cell wall biosynthesis
1215915.3.peg.1382,Metabolic:Pyrimidine synthesis
1215915.3.peg.1383,Metabolic:Pyrimidine synthesis
1215915.3.peg.1384,Metabolic:Pyrimidine synthesis
g.25584.CDS.1388,Metabolic:O-Glycan degradation
