,subsystem
g.27062.CDS.1319,Metabolic:Citric acid cycle
g.27062.CDS.1320,"Metabolic:Transport, extracellular"
g.27062.CDS.1321,Post-translation
640513.3.peg.1321,Metabolic:NAD metabolism
g.27062.CDS.1326,"Metabolic:Transport, extracellular"
g.27062.CDS.1327,Metabolic:Glutathione metabolism
g.27062.CDS.1336,Metabolic:NAD metabolism
640513.3.peg.1337,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.1339,Metabolic:Arginine and proline metabolism
g.27062.CDS.1346,Metabolic:Arginine and proline metabolism
g.27062.CDS.1348,"Metabolic:Transport, extracellular"
g.27062.CDS.1352,Metabolic:NAD metabolism
g.27062.CDS.1360,Metabolic:Fatty acid synthesis
g.27062.CDS.1362,Metabolic:Arginine and proline metabolism
640513.3.peg.1368,Metabolic:Citric acid cycle
640513.3.peg.1369,Metabolic:Citric acid cycle
640513.3.peg.1370,Metabolic:Citric acid cycle
640513.3.peg.1371,Metabolic:Citric acid cycle
640513.3.peg.1372,Metabolic:Citric acid cycle
g.27062.CDS.1373,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
640513.3.peg.1375,Metabolic:Citric acid cycle
g.27062.CDS.1376,"Metabolic:Transport, extracellular"
640513.3.peg.1376,Metabolic:Citric acid cycle
g.27062.CDS.1381,Metabolic:Pyruvate metabolism
g.27062.CDS.1389,"Metabolic:Transport, extracellular"
640513.3.peg.1391,Metabolic:NAD metabolism
640513.3.peg.1396,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.1397,"Metabolic:Transport, extracellular"
g.27062.CDS.1400,Metabolic:Heme synthesis
640513.3.peg.1408,Metabolic:Pentose phosphate pathway
g.27062.CDS.1415,"Metabolic:Transport, extracellular"
640513.3.peg.1416,Metabolic:Biotin metabolism
640513.3.peg.1417,Metabolic:Biotin metabolism
640513.3.peg.1418,Metabolic:Biotin metabolism
640513.3.peg.1419,Metabolic:Biotin metabolism
640513.3.peg.1420,Metabolic:Biotin metabolism
g.27062.CDS.1428,Metabolic:Urea cycle
g.27062.CDS.1429,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.1433,Metabolic:Inositol phosphate metabolism
g.27062.CDS.1437,"Metabolic:Transport, extracellular"
g.27062.CDS.1438,"Metabolic:Transport, extracellular"
g.27062.CDS.1441,Metabolic:Arginine and proline metabolism
g.27062.CDS.1443,Translation
g.27062.CDS.1445,"Metabolic:Transport, extracellular"
g.27062.CDS.1446,"Metabolic:Transport, extracellular"
g.27062.CDS.1454,Metabolic:Arginine and proline metabolism
g.27062.CDS.1458,"Metabolic:Transport, extracellular"
g.27062.CDS.1465,Metabolic:ROS detoxification
g.27062.CDS.1470,Metabolic:Aminosugar metabolism
g.27062.CDS.1474,Metabolic:Aminobenzoate degradation
g.27062.CDS.1477,Metabolic:Pyruvate metabolism
g.27062.CDS.1478,Metabolic:Pyruvate metabolism
640513.3.peg.1481,Metabolic:Pentose phosphate pathway
g.27062.CDS.1483,Metabolic:Citric acid cycle
g.27062.CDS.1484,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1494,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.1498,Metabolic:Heme synthesis
g.27062.CDS.1504,Metabolic:Vitamin B2 metabolism
g.27062.CDS.1519,"Metabolic:Transport, extracellular"
g.27062.CDS.1520,Metabolic:Arginine and proline metabolism
g.27062.CDS.1521,"Metabolic:Transport, extracellular"
g.27062.CDS.1528,Metabolic:ROS detoxification
g.27062.CDS.1533,Translation
g.27062.CDS.1539,Metabolic:Respiration
g.27062.CDS.1547,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
640513.3.peg.1548,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.1549,Metabolic:Respiration
g.27062.CDS.1551,"Metabolic:Transport, extracellular"
g.27062.CDS.1560,"Metabolic:Transport, extracellular"
g.27062.CDS.1562,Metabolic:Vitamin B2 metabolism
g.27062.CDS.1569,"Metabolic:Transport, extracellular"
640513.3.peg.1583,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
640513.3.peg.1584,Metabolic:Phenylalanine metabolism
g.27062.CDS.1588,Metabolic:Respiration
g.27062.CDS.1594,Translation
640513.3.peg.1603,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.1607,Metabolic:Nucleotide interconversion
640513.3.peg.1610,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.1611,Metabolic:Citric acid cycle
g.27062.CDS.1612,Metabolic:ROS detoxification
g.27062.CDS.1614,"Metabolic:Transport, extracellular"
g.27062.CDS.1620,tRNA-Charging
640513.3.peg.1622,Metabolic:Pyrimidine synthesis
g.27062.CDS.1626,Metabolic:Fatty acid synthesis
g.27062.CDS.1629,Metabolic:Galactose metabolism
g.27062.CDS.1632,"Metabolic:Transport, extracellular"
g.27062.CDS.1633,"Metabolic:Transport, extracellular"
g.27062.CDS.1638,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1640,"Metabolic:Transport, extracellular"
g.27062.CDS.1655,tRNA-Charging
g.27062.CDS.1656,Metabolic:Glutamate metabolism
