,subsystem
665951.3.peg.1680,"Metabolic:Transport, extracellular"
665951.3.peg.1681,"Metabolic:Transport, extracellular"
665951.3.peg.1683,"Metabolic:Transport, extracellular"
665951.3.peg.1684,"Metabolic:Transport, extracellular"
665951.3.peg.1694,"Metabolic:Transport, extracellular"
665951.3.peg.1697,Metabolic:Cell wall biosynthesis
665951.3.peg.1699,Metabolic:Glutamate metabolism
665951.3.peg.1702,Metabolic:Glutamate metabolism
665951.3.peg.1703,"Metabolic:Transport, extracellular"
665951.3.peg.1704,Metabolic:Alanine and aspartate metabolism
665951.3.peg.1705,Metabolic:Nucleotide interconversion
665951.3.peg.1706,Metabolic:Purine synthesis
665951.3.peg.1707,Metabolic:Pyrimidine synthesis
665951.3.peg.1708,Metabolic:Pyrimidine synthesis
665951.3.peg.1709,Metabolic:Lysine metabolism
665951.3.peg.1719,Metabolic:Pyruvate metabolism
665951.3.peg.1725,"Metabolic:Transport, extracellular"
665951.3.peg.1726,Metabolic:Pyrimidine synthesis
665951.3.peg.1735,tRNA-Charging
665951.3.peg.1737,Translation
665951.3.peg.1738,Metabolic:Exchange/demand reaction
665951.3.peg.1754,Metabolic:Fatty acid synthesis
665951.3.peg.1755,Metabolic:Vitamin B2 metabolism
665951.3.peg.1756,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.1757,"Metabolic:Transport, extracellular"
665951.3.peg.1765,Metabolic:Pyrimidine synthesis
665951.3.peg.1769,Metabolic:Lysine metabolism
665951.3.peg.1773,Metabolic:Pentose phosphate pathway
665951.3.peg.1782,Metabolic:Galactose metabolism
665951.3.peg.1783,Metabolic:Pyrimidine synthesis
665951.3.peg.1788,Metabolic:Purine synthesis
665951.3.peg.1789,Metabolic:Purine synthesis
665951.3.peg.1790,Metabolic:Purine synthesis
665951.3.peg.1791,Metabolic:Purine synthesis
665951.3.peg.1796,Metabolic:Aminosugar metabolism
665951.3.peg.1798,Metabolic:Fatty acid synthesis
665951.3.peg.1806,tRNA-Charging
665951.3.peg.1808,Metabolic:Folate metabolism
665951.3.peg.1826,Metabolic:NAD metabolism
665951.3.peg.1828,Metabolic:Starch and sucrose metabolism
665951.3.peg.1829,Metabolic:Starch and sucrose metabolism
665951.3.peg.1836,"Metabolic:Transport, extracellular"
665951.3.peg.1838,Metabolic:Aminosugar metabolism
665951.3.peg.1843,Metabolic:CoA synthesis
665951.3.peg.1844,Metabolic:CoA synthesis
665951.3.peg.1845,Metabolic:beta-Alanine metabolism
665951.3.peg.1847,"Metabolic:Transport, extracellular"
665951.3.peg.1871,"Metabolic:Transport, extracellular"
665951.3.peg.1874,Metabolic:Oxidative phosphorylation
665951.3.peg.1876,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
665951.3.peg.1877,Metabolic:Glycerophospholipid metabolism
665951.3.peg.1884,Metabolic:Nucleotide interconversion
665951.3.peg.1885,"Metabolic:Transport, extracellular"
665951.3.peg.1886,"Metabolic:Transport, extracellular"
665951.3.peg.1887,"Metabolic:Transport, extracellular"
665951.3.peg.1888,"Metabolic:Transport, extracellular"
665951.3.peg.1889,Metabolic:Nucleotide interconversion
665951.3.peg.1893,Metabolic:Pyruvate metabolism
665951.3.peg.1894,Metabolic:Pyruvate metabolism
665951.3.peg.1908,Translation
665951.3.peg.1909,Translation
665951.3.peg.1910,Metabolic:Thiamine metabolism
665951.3.peg.1911,Metabolic:Thiamine metabolism
665951.3.peg.1935,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.1939,Metabolic:Starch and sucrose metabolism
665951.3.peg.1954,Metabolic:Folate metabolism
665951.3.peg.1955,tRNA-Charging
665951.3.peg.1957,tRNA-Charging
665951.3.peg.1958,Translation
665951.3.peg.1959,Translation
665951.3.peg.1964,Metabolic:Exchange/demand reaction
665951.3.peg.1983,Metabolic:Pyrimidine synthesis
665951.3.peg.1984,Metabolic:Aminosugar metabolism
665951.3.peg.1987,tRNA-Charging
665951.3.peg.1992,"Metabolic:Transport, extracellular"
665951.3.peg.1993,"Metabolic:Transport, extracellular"
665951.3.peg.1994,"Metabolic:Transport, extracellular"
665951.3.peg.1995,"Metabolic:Transport, extracellular"
665951.3.peg.1996,Metabolic:Glyoxylate and dicarboxylate metabolism
665951.3.peg.1998,Metabolic:Cell wall biosynthesis
665951.3.peg.1999,tRNA-Charging
665951.3.peg.2000,tRNA-Charging
665951.3.peg.2001,tRNA-Charging
665951.3.peg.2002,tRNA-Charging
665951.3.peg.2003,tRNA-Charging
665951.3.peg.2004,tRNA-Charging
665951.3.peg.2005,tRNA-Charging
665951.3.peg.2006,tRNA-Charging
665951.3.peg.2007,tRNA-Charging
665951.3.peg.2008,tRNA-Charging
665951.3.peg.2009,tRNA-Charging
665951.3.peg.2010,tRNA-Charging
665951.3.peg.2011,tRNA-Charging
665951.3.peg.2012,tRNA-Charging
665951.3.peg.2013,tRNA-Charging
665951.3.peg.2014,tRNA-Charging
665951.3.peg.2015,tRNA-Charging
665951.3.peg.2016,tRNA-Charging
665951.3.peg.2017,tRNA-Charging
665951.3.peg.2018,tRNA-Charging
665951.3.peg.2020,Metabolic:Nucleotide interconversion
665951.3.peg.2021,Translation
665951.3.peg.2023,tRNA-Charging
665951.3.peg.2024,tRNA-Charging
665951.3.peg.2025,tRNA-Charging
665951.3.peg.2026,Metabolic:Exchange/demand reaction
665951.3.peg.2027,tRNA-Charging
665951.3.peg.2029,Metabolic:Pyruvate metabolism
665951.3.peg.2033,Metabolic:Galactose metabolism
665951.3.peg.2034,"Metabolic:Transport, extracellular"
665951.3.peg.2037,Metabolic:Plant polysaccharide degradation
665951.3.peg.2046,Metabolic:Exchange/demand reaction
665951.3.peg.2059,Metabolic:Pyrimidine synthesis
665951.3.peg.2060,Metabolic:Pentose phosphate pathway
665951.3.peg.2061,Metabolic:Aminosugar metabolism
665951.3.peg.2066,Translation
665951.3.peg.2076,Metabolic:Histidine metabolism
665951.3.peg.2086,Metabolic:Vitamin B2 metabolism
665951.3.peg.2088,"Metabolic:Transport, extracellular"
665951.3.peg.2091,Metabolic:Aminosugar metabolism
665951.3.peg.2094,tRNA-Charging
665951.3.peg.2095,tRNA-Charging
665951.3.peg.2097,Metabolic:Exchange/demand reaction
665951.3.peg.2098,Metabolic:Exchange/demand reaction
665951.3.peg.2102,Metabolic:Pentose phosphate pathway
665951.3.peg.2106,Metabolic:Cell wall biosynthesis
665951.3.peg.2107,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.2125,Metabolic:Cell wall biosynthesis
665951.3.peg.2133,tRNA-Charging
665951.3.peg.2134,Translation
665951.3.peg.2138,Metabolic:Pentose phosphate pathway
665951.3.peg.2147,Metabolic:Purine catabolism
665951.3.peg.2151,Metabolic:Cell wall biosynthesis
665951.3.peg.2152,Metabolic:Exchange/demand reaction
665951.3.peg.2153,Translation
665951.3.peg.2154,tRNA-Charging
665951.3.peg.2155,Translation
665951.3.peg.2156,Translation
665951.3.peg.2160,Metabolic:Pentose and glucuronate interconversions
665951.3.peg.2161,Metabolic:Thiamine metabolism
665951.3.peg.2167,Metabolic:Aminobenzoate degradation
665951.3.peg.2170,Metabolic:Pyruvate metabolism
665951.3.peg.2180,Metabolic:Pyrimidine synthesis
665951.3.peg.2181,Metabolic:Pyrimidine synthesis
665951.3.peg.2182,Metabolic:Pyrimidine synthesis
665951.3.peg.2197,Metabolic:Glycerophospholipid metabolism
665951.3.peg.2198,"Metabolic:Transport, extracellular"
665951.3.peg.2202,Metabolic:Alanine and aspartate metabolism
665951.3.peg.2212,Metabolic:Nucleotide interconversion
665951.3.peg.2245,"Metabolic:Transport, extracellular"
665951.3.peg.2255,Metabolic:Exchange/demand reaction
665951.3.peg.2268,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.2277,Metabolic:Vitamin B2 metabolism
665951.3.peg.2278,Metabolic:Pyruvate metabolism
665951.3.peg.2280,tRNA-Charging
665951.3.peg.2281,tRNA-Charging
665951.3.peg.2283,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.2285,Metabolic:Nucleotide interconversion
665951.3.peg.2286,Metabolic:Folate metabolism
665951.3.peg.2287,"Metabolic:Transport, extracellular"
665951.3.peg.2288,"Metabolic:Transport, extracellular"
665951.3.peg.2289,"Metabolic:Transport, extracellular"
665951.3.peg.2290,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.2291,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.2295,"Metabolic:Transport, extracellular"
665951.3.peg.2296,"Metabolic:Transport, extracellular"
665951.3.peg.2301,"Metabolic:Transport, extracellular"
665951.3.peg.2305,Translation
665951.3.peg.2312,Metabolic:Folate metabolism
665951.3.peg.2314,Metabolic:Phenylalanine metabolism
665951.3.peg.2315,Metabolic:Tyrosine metabolism
