,subsystem
565047.3.peg.1539,Translation
565047.3.peg.1540,Metabolic:Pyrimidine catabolism
565047.3.peg.1541,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1546,tRNA-Charging
565047.3.peg.1547,Translation
565047.3.peg.1548,Translation
565047.3.peg.1549,Translation
565047.3.peg.1550,Translation
565047.3.peg.1551,Translation
565047.3.peg.1553,Metabolic:Heme synthesis
565047.3.peg.1557,tRNA-Charging
565047.3.peg.1558,Metabolic:Exchange/demand reaction
565047.3.peg.1560,Metabolic:Pyrimidine catabolism
565047.3.peg.1565,Metabolic:NAD metabolism
565047.3.peg.1567,Metabolic:Phenylalanine metabolism
565047.3.peg.1571,Metabolic:Methionine and cysteine metabolism
565047.3.peg.1573,Transcription
565047.3.peg.1575,Metabolic:Nucleotide interconversion
565047.3.peg.1582,tRNA-Charging
565047.3.peg.1591,Metabolic:Thiamine metabolism
565047.3.peg.1594,"Metabolic:Transport, extracellular"
565047.3.peg.1597,tRNA-Charging
565047.3.peg.1598,tRNA-Charging
565047.3.peg.1601,Metabolic:Vitamin B2 metabolism
565047.3.peg.1602,Metabolic:Nucleotide salvage pathway
565047.3.peg.1612,Metabolic:Pyruvate metabolism
565047.3.peg.1614,Metabolic:Phenylalanine metabolism
565047.3.peg.1616,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1617,"Metabolic:Transport, extracellular"
565047.3.peg.1618,tRNA-Charging
565047.3.peg.1620,tRNA-Charging
565047.3.peg.1621,Transcription
565047.3.peg.1629,Metabolic:Folate metabolism
565047.3.peg.1630,tRNA-Charging
565047.3.peg.1631,Metabolic:Heme synthesis
565047.3.peg.1632,Metabolic:Heme synthesis
565047.3.peg.1633,Metabolic:Heme synthesis
565047.3.peg.1634,Metabolic:Heme synthesis
565047.3.peg.1635,Metabolic:tRNA Charging
565047.3.peg.1637,tRNA-Charging
565047.3.peg.1638,Metabolic:Exchange/demand reaction
565047.3.peg.1641,Metabolic:CoA synthesis
565047.3.peg.1644,Metabolic:Unassigned
565047.3.peg.1645,Metabolic:Citric acid cycle
565047.3.peg.1648,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.1649,Metabolic:Pentose phosphate pathway
565047.3.peg.1651,Metabolic:Pyruvate metabolism
565047.3.peg.1652,Metabolic:Pyruvate metabolism
565047.3.peg.1653,Metabolic:Exchange/demand reaction
565047.3.peg.1658,Metabolic:Alanine and aspartate metabolism
565047.3.peg.1660,Metabolic:Pyruvate metabolism
565047.3.peg.1663,Metabolic:Fatty acid synthesis
565047.3.peg.1670,Metabolic:NAD metabolism
565047.3.peg.1671,Metabolic:Urea cycle
565047.3.peg.1672,Metabolic:Arginine and proline metabolism
565047.3.peg.1673,Metabolic:Arginine and proline metabolism
565047.3.peg.1674,Metabolic:Arginine and proline metabolism
565047.3.peg.1675,Metabolic:Urea cycle
565047.3.peg.1677,Metabolic:Thiamine metabolism
565047.3.peg.1680,tRNA-Charging
565047.3.peg.1681,tRNA-Charging
565047.3.peg.1683,Metabolic:Phenylalanine metabolism
565047.3.peg.1688,Metabolic:Cell wall biosynthesis
565047.3.peg.1702,Metabolic:Glutamate metabolism
565047.3.peg.1710,Metabolic:Tryptophan metabolism
565047.3.peg.1711,Metabolic:Tryptophan metabolism
565047.3.peg.1712,Metabolic:Tryptophan metabolism
565047.3.peg.1713,Metabolic:Tryptophan metabolism
565047.3.peg.1714,Metabolic:Tryptophan metabolism
565047.3.peg.1715,Metabolic:Folate metabolism
565047.3.peg.1716,Metabolic:Tryptophan metabolism
565047.3.peg.1717,Metabolic:Pyruvate metabolism
565047.3.peg.1723,Metabolic:Citric acid cycle
565047.3.peg.1729,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1737,Translation
565047.3.peg.1738,tRNA-Charging
565047.3.peg.1740,tRNA-Charging
565047.3.peg.1743,Metabolic:Alanine and aspartate metabolism
565047.3.peg.1744,Metabolic:Methionine and cysteine metabolism
565047.3.peg.1746,Metabolic:Pyruvate metabolism
565047.3.peg.1750,"Metabolic:Transport, extracellular"
565047.3.peg.1751,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
565047.3.peg.1752,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
565047.3.peg.1754,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
565047.3.peg.1755,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
565047.3.peg.1756,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
565047.3.peg.1757,Metabolic:Folate metabolism
565047.3.peg.1758,Metabolic:Methionine and cysteine metabolism
565047.3.peg.1759,Metabolic:Methionine and cysteine metabolism
565047.3.peg.1760,Metabolic:Methionine and cysteine metabolism
565047.3.peg.1763,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1764,Metabolic:Heme synthesis
565047.3.peg.1767,Metabolic:Fatty acid synthesis
565047.3.peg.1770,Metabolic:Pyrimidine catabolism
565047.3.peg.1777,Translation
565047.3.peg.1785,Metabolic:Nucleotide interconversion
565047.3.peg.1789,Metabolic:Glutathione metabolism
565047.3.peg.1799,"Metabolic:Transport, extracellular"
565047.3.peg.1800,"Metabolic:Transport, extracellular"
565047.3.peg.1806,Metabolic:Starch and sucrose metabolism
565047.3.peg.1810,Metabolic:Glutamate metabolism
565047.3.peg.1811,Metabolic:Glutamate metabolism
565047.3.peg.1814,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1819,Metabolic:Nucleotide interconversion
565047.3.peg.1826,Metabolic:Phenylalanine metabolism
565047.3.peg.1829,Translation
565047.3.peg.1832,tRNA-Charging
565047.3.peg.1833,tRNA-Charging
565047.3.peg.1834,tRNA-Charging
565047.3.peg.1836,Metabolic:Exchange/demand reaction
565047.3.peg.1837,Metabolic:Exchange/demand reaction
565047.3.peg.1842,Metabolic:Purine synthesis
565047.3.peg.1843,Metabolic:Purine synthesis
565047.3.peg.1844,Metabolic:Purine synthesis
565047.3.peg.1845,Metabolic:Purine synthesis
565047.3.peg.1846,Metabolic:Purine synthesis
565047.3.peg.1847,Metabolic:Purine synthesis
565047.3.peg.1848,Metabolic:Purine synthesis
565047.3.peg.1849,Metabolic:Purine synthesis
565047.3.peg.1850,Metabolic:Purine synthesis
565047.3.peg.1851,Metabolic:Purine synthesis
565047.3.peg.1852,Metabolic:Purine synthesis
565047.3.peg.1853,Metabolic:Purine synthesis
565047.3.peg.1861,tRNA-Charging
565047.3.peg.1862,tRNA-Charging
565047.3.peg.1863,Translation
565047.3.peg.1868,tRNA-Charging
565047.3.peg.1873,Metabolic:Exchange/demand reaction
565047.3.peg.1874,Translation
565047.3.peg.1878,tRNA-Charging
565047.3.peg.1884,Post-translation
565047.3.peg.1885,Metabolic:Exchange/demand reaction
565047.3.peg.1886,Metabolic:Exchange/demand reaction
565047.3.peg.1888,Metabolic:Fatty acid synthesis
565047.3.peg.1889,Metabolic:Fatty acid synthesis
565047.3.peg.1890,Metabolic:Glycerophospholipid metabolism
