,subsystem
g.31042.CDS.792,"Metabolic:Transport, extracellular"
g.31042.CDS.794,Transcription
g.31042.CDS.798,tRNA-Charging
1194526.3.peg.798,Metabolic:Thiamine metabolism
g.31042.CDS.800,Metabolic:Galactose metabolism
1194526.3.peg.800,Metabolic:Thiamine metabolism
g.31042.CDS.809,tRNA-Charging
g.31042.CDS.810,Metabolic:Urea cycle
g.31042.CDS.812,"Metabolic:Transport, extracellular"
g.31042.CDS.813,Metabolic:Pyruvate metabolism
1194526.3.peg.816,Metabolic:Alanine and aspartate metabolism
g.31042.CDS.818,"Metabolic:Transport, extracellular"
g.31042.CDS.823,Metabolic:Squalene and cholesterol synthesis
1194526.3.peg.825,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1194526.3.peg.826,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.827,Metabolic:Methionine and cysteine metabolism
1194526.3.peg.827,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.828,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.829,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.830,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.831,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.832,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.833,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.840,Metabolic:Fructose and mannose metabolism
g.31042.CDS.844,"Metabolic:Transport, extracellular"
g.31042.CDS.848,Metabolic:Biotin metabolism
g.31042.CDS.852,"Metabolic:Transport, extracellular"
g.31042.CDS.853,Transcription
g.31042.CDS.861,Metabolic:Pentose phosphate pathway
1194526.3.peg.861,Metabolic:Alanine and aspartate metabolism
g.31042.CDS.866,tRNA-Charging
g.31042.CDS.867,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.872,Metabolic:Pyruvate metabolism
g.31042.CDS.874,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.875,"Metabolic:Transport, extracellular"
1194526.3.peg.875,Metabolic:Pentose phosphate pathway
g.31042.CDS.879,Metabolic:Fatty acid synthesis
1194526.3.peg.880,Metabolic:Phenylalanine metabolism
g.31042.CDS.883,Metabolic:Biotin metabolism
1194526.3.peg.883,Metabolic:NAD metabolism
1194526.3.peg.886,Metabolic:Purine synthesis
g.31042.CDS.887,Metabolic:Urea cycle
g.31042.CDS.889,Metabolic:Arginine and proline metabolism
g.31042.CDS.894,Metabolic:Histidine metabolism
g.31042.CDS.895,"Metabolic:Transport, extracellular"
g.31042.CDS.896,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.897,tRNA-Charging
g.31042.CDS.898,"Metabolic:Transport, extracellular"
g.31042.CDS.901,"Metabolic:Transport, extracellular"
g.31042.CDS.903,tRNA-Charging
g.31042.CDS.906,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.907,tRNA-Charging
g.31042.CDS.909,Metabolic:Pentose and glucuronate interconversions
g.31042.CDS.916,Metabolic:Biotin metabolism
g.31042.CDS.918,Metabolic:Tetrahydrobiopterin metabolism
g.31042.CDS.926,Metabolic:Fructose and mannose metabolism
g.31042.CDS.928,"Metabolic:Transport, extracellular"
g.31042.CDS.929,Metabolic:Exchange/demand reaction
g.31042.CDS.930,Metabolic:Unassigned
g.31042.CDS.931,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.933,Metabolic:Sulfur metabolism
g.31042.CDS.938,Metabolic:Respiration
1194526.3.peg.942,Metabolic:Citric acid cycle
g.31042.CDS.952,tRNA-Charging
g.31042.CDS.959,Translation
g.31042.CDS.963,"Metabolic:Transport, extracellular"
g.31042.CDS.965,tRNA-Charging
g.31042.CDS.966,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.967,Metabolic:Fatty acid synthesis
g.31042.CDS.969,Metabolic:Respiration
1194526.3.peg.969,Metabolic:Citric acid cycle
g.31042.CDS.976,Metabolic:Glycerophospholipid metabolism
1194526.3.peg.976,Metabolic:Pentose phosphate pathway
g.31042.CDS.978,Translation
g.31042.CDS.982,Metabolic:Vitamin B6 metabolism
1194526.3.peg.983,Metabolic:Vitamin B2 metabolism
g.31042.CDS.984,Metabolic:Nucleotide salvage pathway
1194526.3.peg.984,Metabolic:Vitamin B2 metabolism
1194526.3.peg.985,Metabolic:Vitamin B2 metabolism
g.31042.CDS.986,Translation
1194526.3.peg.986,Metabolic:Vitamin B2 metabolism
g.31042.CDS.987,tRNA-Charging
g.31042.CDS.990,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.991,"Metabolic:Transport, extracellular"
g.31042.CDS.997,Metabolic:Pentose and glucuronate interconversions
g.31042.CDS.998,"Metabolic:Transport, extracellular"
g.31042.CDS.999,tRNA-Charging
1194526.3.peg.1001,Metabolic:Arginine and proline metabolism
g.31042.CDS.1005,Translation
g.31042.CDS.1006,Metabolic:Cell wall biosynthesis
g.31042.CDS.1009,Metabolic:Benzoate degradation
g.31042.CDS.1010,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
g.31042.CDS.1013,Metabolic:Cell wall biosynthesis
1194526.3.peg.1015,Metabolic:Phenylalanine metabolism
g.31042.CDS.1021,Metabolic:Vitamin B2 metabolism
g.31042.CDS.1022,Metabolic:Nucleotide interconversion
g.31042.CDS.1023,tRNA-Charging
g.31042.CDS.1028,Metabolic:NAD metabolism
g.31042.CDS.1029,Metabolic:Alanine and aspartate metabolism
g.31042.CDS.1031,"Metabolic:Transport, extracellular"
1194526.3.peg.1031,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1194526.3.peg.1032,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.1033,Metabolic:Cell wall biosynthesis
1194526.3.peg.1033,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.1035,Metabolic:Nucleotide interconversion
g.31042.CDS.1036,Metabolic:Cell wall biosynthesis
g.31042.CDS.1037,tRNA-Charging
g.31042.CDS.1041,Translation
g.31042.CDS.1046,Metabolic:Sulfur metabolism
g.31042.CDS.1047,tRNA-Charging
g.31042.CDS.1050,Metabolic:Nucleotide interconversion
g.31042.CDS.1051,Metabolic:Exchange/demand reaction
g.31042.CDS.1056,"Metabolic:Transport, extracellular"
1194526.3.peg.1056,Metabolic:Glycolysis/gluconeogenesis
1194526.3.peg.1059,Metabolic:Citric acid cycle
1194526.3.peg.1060,Metabolic:Citric acid cycle
g.31042.CDS.1062,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1194526.3.peg.1065,Metabolic:CoA synthesis
1194526.3.peg.1066,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.1067,Metabolic:ROS detoxification
g.31042.CDS.1069,tRNA-Charging
g.31042.CDS.1073,Translation
g.31042.CDS.1078,Metabolic:Citric acid cycle
g.31042.CDS.1079,Metabolic:Exchange/demand reaction
