MicrobeID	NCBI Taxonomy ID	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom
Blautia_hydrogenotrophica_DSM_10507	476272	Blautia hydrogenotrophica DSM 10507	Blautia hydrogenotrophica	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Brachybacterium_paraconglomeratum_LC44	1064537	Brachybacterium paraconglomeratum LC44	Brachybacterium paraconglomeratum	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
Brachyspira_pilosicoli_B2904	1133568	Brachyspira pilosicoli B2904	Brachyspira pilosicoli	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
Bradyrhizobium_elkanii_USDA_76	398525	Bradyrhizobium elkanii USDA 76	Bradyrhizobium elkanii	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Brevibacillus_agri_BAB_2500	1246477	Brevibacillus agri BAB-2500	Brevibacillus agri	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Brevibacillus_borstelensis_AK1	1300222	Brevibacillus borstelensis AK1	Brevibacillus borstelensis	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Brevibacillus_brevis_NBRC_100599	358681	Brevibacillus brevis NBRC 100599	Brevibacillus brevis	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Brevibacterium_casei_S18	1229781	Brevibacterium casei S18	Brevibacterium casei	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
Brevibacterium_massiliense_5401308	1176165	Brevibacterium ravenspurgense 5401308 = CCUG 53855	Brevibacterium ravenspurgense	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
Brevundimonas_diminuta_470_4	1035191	Brevundimonas diminuta 470-4	Brevundimonas diminuta	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Bulleidia_extructa_W1219	679192	Bulleidia extructa W1219	Bulleidia extructa	Bulleidia	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Burkholderiales_bacterium_1_1_47	469610	Burkholderiales bacterium 1_1_47	Burkholderiales bacterium 1_1_47	unclassified Burkholderiales	unclassified Burkholderiales	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Butyricicoccus_pullicaecorum_1_2	1203606	Butyricicoccus pullicaecorum 1.2	Butyricicoccus pullicaecorum	Butyricicoccus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Butyricimonas_synergistica_DSM_23225	1121129	Butyricimonas synergistica DSM 23225	Butyricimonas synergistica	Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Butyrivibrio_crossotus_DSM_2876	511680	Butyrivibrio crossotus DSM 2876	Butyrivibrio crossotus	Butyrivibrio	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Butyrivibrio_fibrisolvens_16_4	657324	Butyrivibrio fibrisolvens 16/4	Butyrivibrio fibrisolvens	Butyrivibrio	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Campylobacter_coli_JV20	864566	Campylobacter coli JV20	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_concisus_13826	360104	Campylobacter concisus 13826	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_curvus_525_92	360105	Campylobacter curvus 525.92	Campylobacter curvus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_fetus_subsp_fetus_82_40	360106	Campylobacter fetus subsp. fetus 82-40	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_gracilis_RM3268	553220	Campylobacter gracilis RM3268	Campylobacter gracilis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_hominis_ATCC_BAA_381	360107	Campylobacter hominis ATCC BAA-381	Campylobacter hominis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_jejuni_jejuni_81_176	354242	Campylobacter jejuni subsp. jejuni 81-176	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_jejuni_jejuni_M1	645464	Campylobacter jejuni subsp. jejuni M1	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_jejuni_jejuni_NCTC_11168	192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_lari_RM2100	306263	Campylobacter lari RM2100	Campylobacter lari	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_rectus_RM3267	553218	Campylobacter rectus RM3267	Campylobacter rectus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Campylobacter_upsaliensis_JV21	888826	Campylobacter upsaliensis JV21	Campylobacter upsaliensis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Capnocytophaga_granulosa_ATCC_51502	641143	Capnocytophaga granulosa ATCC 51502	Capnocytophaga granulosa	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Capnocytophaga_ochracea_DSM_7271	521097	Capnocytophaga ochracea DSM 7271	Capnocytophaga ochracea	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Capnocytophaga_sputigena_ATCC_33612	553177	Capnocytophaga sputigena ATCC 33612	Capnocytophaga sputigena	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Catenibacterium_mitsuokai_DSM_15897	451640	Catenibacterium mitsuokai DSM 15897	Catenibacterium mitsuokai	Catenibacterium	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Citrobacter_koseri_ATCC_BAA_895	290338	Citrobacter koseri ATCC BAA-895	Citrobacter koseri	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Citrobacter_sp_30_2	469595	Citrobacter portucalensis	Citrobacter sp. 30_2	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Citrobacter_youngae_ATCC_29220	500640	Citrobacter youngae ATCC 29220	Citrobacter youngae	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Clostridiales_sp_1_7_47FAA	457421	Clostridiales bacterium 1_7_47FAA	Clostridiales bacterium 1_7_47FAA	unclassified Clostridiales	unclassified Clostridiales	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_beijerinckii_NCIMB_8052	290402	Clostridium beijerinckii NCIMB 8052	Clostridium beijerinckii	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_bolteae_ATCC_BAA_613	411902	Enterocloster bolteae ATCC BAA-613	Enterocloster bolteae	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_A_str_ATCC_19397	441770	Clostridium botulinum A str. ATCC 19397	Clostridium botulinum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_A_str_Hall	441771	Clostridium botulinum A str. Hall	Clostridium botulinum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_Bf	445336	Clostridium botulinum Bf	Clostridium botulinum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_E1_str_BoNT_E_Beluga	536233	Clostridium botulinum E1 str. 'BoNT E Beluga'	Clostridium botulinum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_botulinum_F_str_230613	758678	Clostridium botulinum F str. 230613	Clostridium botulinum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_citroniae_WAL_17108	742733	[Clostridium] citroniae WAL-17108	Enterocloster citroniae	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_clariflavum_DSM_19732	720554	Acetivibrio clariflavus DSM 19732	Acetivibrio clariflavus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_clostridioforme_CM201	999410	[Clostridium] clostridioforme CM201	Enterocloster clostridioformis	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_difficile_CD196	645462	Clostridioides difficile CD196	Clostridioides difficile	Clostridioides	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_hathewayi_12489931	999412	Hungatella hathewayi 12489931	Hungatella hathewayi	Hungatella	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_hylemonae_DSM_15053	553973	[Clostridium] hylemonae DSM 15053	[Clostridium] hylemonae	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_innocuum_2959	999413	[Clostridium] innocuum 2959	[Clostridium] innocuum	Erysipelatoclostridium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Clostridium_leptum_DSM_753	428125	[Clostridium] leptum DSM 753	[Clostridium] leptum	unclassified Ruminococcaceae	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_perfringens_ATCC_13124	195103	Clostridium perfringens ATCC 13124	Clostridium perfringens	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_saccharoperbutylacetonicum_N1_4_HMT	931276	Clostridium saccharoperbutylacetonicum N1-4(HMT	Clostridium saccharoperbutylacetonicum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_scindens_ATCC_35704	411468	[Clostridium] scindens ATCC 35704	[Clostridium] scindens	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_sp_7_2_43FAA	457396	Clostridium sp. 7_2_43FAA	Clostridium sp. 7_2_43FAA	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_sp_L2_50	411489	Clostridium sp. L2-50	Clostridium sp. L2-50	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_sp_M62_1	411486	Clostridium sp. M62/1	Clostridium sp. M62/1	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_sp_SY8519	1042156	Clostridium sp. SY8519	Clostridium sp. SY8519	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_spiroforme_DSM_1552	428126	[Clostridium] spiroforme DSM 1552	[Clostridium] spiroforme	Erysipelatoclostridium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Clostridium_sporogenes_ATCC_15579	471871	Clostridium sporogenes ATCC 15579	Clostridium sporogenes	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_sporosphaeroides_DSM_1294	1121334	[Clostridium] sporosphaeroides DSM 1294	[Clostridium] sporosphaeroides	unclassified Ruminococcaceae	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_sticklandii_DSM_519	499177	Acetoanaerobium sticklandii DSM 519	Acetoanaerobium sticklandii	Acetoanaerobium	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_symbiosum_WAL_14163	742740	[Clostridium] symbiosum WAL-14163	[Clostridium] symbiosum	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium_symbiosum_WAL_14673	742741	[Clostridium] symbiosum WAL-14673	[Clostridium] symbiosum	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Collinsella_aerofaciens_ATCC_25986	411903	Collinsella aerofaciens ATCC 25986	Collinsella aerofaciens	Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Collinsella_intestinalis_DSM_13280	521003	Collinsella intestinalis DSM 13280	Collinsella intestinalis	Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Collinsella_stercoris_DSM_13279	445975	Collinsella stercoris DSM 13279	Collinsella stercoris	Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Collinsella_tanakaei_YIT_12063	742742	Collinsella tanakaei YIT 12063	Collinsella tanakaei	Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Coprobacillus_sp_29_1	469596	Coprobacillus cateniformis	Coprobacillus cateniformis	Coprobacillus	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Coprobacillus_sp_D7	556270	Coprobacillus sp. D7	Coprobacillus sp. D7	Coprobacillus	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Coprococcus_comes_ATCC_27758	470146	Coprococcus comes ATCC 27758	Coprococcus comes	Coprococcus	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Coprococcus_eutactus_ATCC_27759	411474	Coprococcus eutactus ATCC 27759	Coprococcus eutactus	Coprococcus	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Corynebacterium_ammoniagenes_DSM_20306	649754	Corynebacterium ammoniagenes DSM 20306	Corynebacterium ammoniagenes	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_amycolatum_SK46	553204	Corynebacterium amycolatum SK46	Corynebacterium amycolatum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_aurimucosum_ATCC_700975	548476	Corynebacterium aurimucosum ATCC 700975	Corynebacterium aurimucosum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_durum_F0235	1035195	Corynebacterium durum F0235	Corynebacterium durum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_glucuronolyticum_ATCC_51867	548477	Corynebacterium glucuronolyticum ATCC 51867	Corynebacterium glucuronolyticum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_kroppenstedtii_DSM_44385	645127	Corynebacterium kroppenstedtii DSM 44385	Corynebacterium kroppenstedtii	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_propinquum_DSM_44285	1121367	Corynebacterium propinquum DSM 44285	Corynebacterium propinquum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_tuberculostearicum_SK141	553206	Corynebacterium tuberculostearicum SK141	Corynebacterium tuberculostearicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Corynebacterium_ulcerans_809	945711	Corynebacterium ulcerans 809	Corynebacterium ulcerans	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
Cronobacter_sakazakii_ATCC_BAA_894	290339	Cronobacter sakazakii ATCC BAA-894	Cronobacter sakazakii	Cronobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Cryptobacterium_curtum_DSM_15641	469378	Cryptobacterium curtum DSM 15641	Cryptobacterium curtum	Cryptobacterium	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Curtobacterium_flaccumfaciens_UCD_AKU	1292022	Curtobacterium flaccumfaciens UCD-AKU	Curtobacterium flaccumfaciens	Curtobacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
Delftia_acidovorans_SPH_1	398578	Delftia acidovorans SPH-1	Delftia acidovorans	Delftia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Desulfovibrio_piger_ATCC_29098	411464	Desulfovibrio piger ATCC 29098	Desulfovibrio piger	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Desulfovibrio_sp_3_1_syn3	457398	Desulfovibrio sp. 3_1_syn3	Desulfovibrio sp. 3_1_syn3	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Dialister_invisus_DSM_15470	592028	Dialister invisus DSM 15470	Dialister invisus	Dialister	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Dialister_succinatiphilus_YIT_11850	742743	Dialister succinatiphilus YIT 11850	Dialister succinatiphilus	Dialister	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Dorea_formicigenerans_ATCC_27755	411461	Dorea formicigenerans ATCC 27755	Dorea formicigenerans	Dorea	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Dorea_longicatena_DSM_13814	411462	Dorea longicatena DSM 13814	Dorea longicatena	Dorea	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Edwardsiella_tarda_ATCC_23685	500638	Edwardsiella tarda ATCC 23685	Edwardsiella tarda	Edwardsiella	Hafniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Edwardsiella_tarda_FL6_60	718251	Edwardsiella tarda FL6-60	Edwardsiella tarda	Edwardsiella	Hafniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Eggerthella_sp_1_3_56FAA	665943	Eggerthella sp. 1_3_56FAA	Eggerthella sp. 1_3_56FAA	Eggerthella	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Eggerthella_sp_YY7918	502558	Eggerthella sp. YY7918	Eggerthella sp. YY7918	Eggerthella	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Eggerthia_catenaformis_OT_569	999415	Eggerthia catenaformis OT 569 = DSM 20559	Eggerthia catenaformis	Eggerthia	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Eikenella_corrodens_ATCC_23834	546274	Eikenella corrodens ATCC 23834	Eikenella corrodens	Eikenella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Enterobacter_aerogenes_KCTC_2190	1028307	Klebsiella aerogenes KCTC 2190	Klebsiella aerogenes	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Enterobacter_asburiae_LF7a	640513	Enterobacter asburiae LF7a	Enterobacter asburiae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Enterobacter_cancerogenus_ATCC_35316	500639	Enterobacter cancerogenus ATCC 35316	Enterobacter cancerogenus	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Enterobacter_cloacae_EcWSU1	1045856	Enterobacter cloacae EcWSU1	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Enterococcus_asini_ATCC_700915	1158606	Enterococcus asini ATCC 700915	Enterococcus asini	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_avium_ATCC_14025	1140002	Enterococcus avium ATCC 14025	Enterococcus avium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_caccae_ATCC_BAA_1240	1158612	Enterococcus caccae ATCC BAA-1240	Enterococcus caccae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_casseliflavus_ATCC_12755	888066	Enterococcus casseliflavus ATCC 12755	Enterococcus casseliflavus	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_dispar_ATCC_51266	1139219	Enterococcus dispar ATCC 51266	Enterococcus dispar	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_faecalis_OG1RF_ATCC_47077	474186	Enterococcus faecalis OG1RF	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_faecalis_TX1322	525278	Enterococcus faecalis TX1322	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_faecalis_V583	226185	Enterococcus faecalis V583	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_faecium_TX1330	525279	Enterococcus faecium TX1330	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_hirae_ATCC_9790	768486	Enterococcus hirae ATCC 9790	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Enterococcus_phoeniculicola_ATCC_BAA_412	1158610	Enterococcus phoeniculicola ATCC BAA-412	Enterococcus phoeniculicola	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Erysipelotrichaceae_bacterium_5_2_54FAA	552396	Erysipelotrichaceae bacterium 5_2_54FAA	Erysipelotrichaceae bacterium 5_2_54FAA	unclassified Erysipelotrichaceae	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Erysipelotrichaceae_bacterium_sp_3_1_53	658659	Erysipelotrichaceae bacterium 3_1_53	Erysipelotrichaceae bacterium 3_1_53	unclassified Erysipelotrichaceae	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Escherichia_albertii_TW07627	502347	Escherichia albertii TW07627	Escherichia albertii	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_coli_O157_H7_str_Sakai	386585	Escherichia coli O157:H7 str. Sakai	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_coli_SE11	409438	Escherichia coli SE11	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_coli_str_K_12_substr_MG1655	511145	Escherichia coli str. K-12 substr. MG1655	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_coli_UTI89_UPEC	364106	Escherichia coli UTI89	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_fergusonii_ATCC_35469	585054	Escherichia fergusonii ATCC 35469	Escherichia fergusonii	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_sp_3_2_53FAA	561	Escherichia	Escherichia sp. 3_2_53FAA	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia_sp_4_1_40B	457401	Escherichia sp. 4_1_40B	Escherichia sp. 4_1_40B	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Eubacterium_biforme_DSM_3989	518637	Holdemanella biformis DSM 3989	Holdemanella biformis	Holdemanella	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Eubacterium_dolichum_DSM_3991	428127	Amedibacillus dolichus DSM 3991	Amedibacillus dolichus	Amedibacillus	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Eubacterium_eligens_ATCC_27750	515620	[Eubacterium] eligens ATCC 27750	Lachnospira eligens	Lachnospira	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacterium_limosum_KIST612	903814	Eubacterium limosum KIST612	Eubacterium limosum	Eubacterium	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacterium_rectale_ATCC_33656	515619	[Eubacterium] rectale ATCC 33656	[Eubacterium] rectale	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacterium_saphenum_ATCC_49989	592031	Eubacterium saphenum ATCC 49989	[Eubacterium] saphenum	unclassified Clostridiales Incertae Sedis XIII	Eubacteriales Family XIII. Incertae Sedis	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacterium_siraeum_DSM_15702	428128	[Eubacterium] siraeum DSM 15702	[Eubacterium] siraeum	unclassified Ruminococcaceae	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacterium_ventriosum_ATCC_27560	411463	Eubacterium ventriosum ATCC 27560	Eubacterium ventriosum	Eubacterium	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Faecalibacterium_cf_prausnitzii_KLE1255	748224	Faecalibacterium cf. prausnitzii KLE1255	Faecalibacterium prausnitzii	Faecalibacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Faecalibacterium_prausnitzii_M21_2	411485	Faecalibacterium prausnitzii M21/2	Faecalibacterium prausnitzii	Faecalibacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Filifactor_alocis_ATCC_35896	546269	Filifactor alocis ATCC 35896	Filifactor alocis	Filifactor	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Finegoldia_magna_ATCC_29328	334413	Finegoldia magna ATCC 29328	Finegoldia magna	Finegoldia	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Fusobacterium_gonidiaformans_ATCC_25563	469615	Fusobacterium gonidiaformans ATCC 25563	Fusobacterium gonidiaformans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium_mortiferum_ATCC_9817	469616	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium_necrophorum_D12	556263	Fusobacterium necrophorum D12	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
Fusobacterium_nucleatum_subsp_animalis_3_1_33	469603	Fusobacterium nucleatum subsp. animalis 3_1_33	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
